model,context,subset,emotion,precision,recall,f1,support
gemma3_27b,context,full,Sadness,0.0,0.0,0.0,5
gemma3_27b,context,full,Surprise,0.0,0.0,0.0,13
gemma3_27b,context,test,Anger,0.0,0.0,0.0,4
gemma3_27b,context,test,Disgust,0.0,0.0,0.0,1
gemma3_27b,context,test,Fear,0.0,0.0,0.0,0
gemma3_27b,context,test,Happiness,0.0,0.0,0.0,11
gemma3_27b,context,test,Neutral,0.8639455782312925,0.9548872180451128,0.9071428571428571,133
gemma3_27b,context,test,Sadness,0.0,0.0,0.0,1
gemma3_27b,context,test,Surprise,0.0,0.0,0.0,3
gpt-oss_20b,context,full,Anger,0.1794871794871795,0.2916666666666667,0.2222222222222222,24
gpt-oss_20b,context,full,Disgust,0.0,0.0,0.0,4
gpt-oss_20b,context,full,Fear,0.0,0.0,0.0,3
gpt-oss_20b,context,full,Happiness,0.15384615384615385,0.11320754716981132,0.13043478260869565,53
gpt-oss_20b,context,full,Neutral,0.9053435114503817,0.8903903903903904,0.8978046934140802,666
gpt-oss_20b,context,full,Sadness,0.25,0.4,0.3076923076923077,5
gpt-oss_20b,context,full,Surprise,0.0,0.0,0.0,14
gpt-oss_20b,context,test,Anger,0.25,0.25,0.25,4
gpt-oss_20b,context,test,Disgust,0.0,0.0,0.0,1
gpt-oss_20b,context,test,Fear,0.0,0.0,0.0,0
gpt-oss_20b,context,test,Happiness,0.2,0.18181818181818182,0.19047619047619047,11
gpt-oss_20b,context,test,Neutral,0.9015151515151515,0.8947368421052632,0.8981132075471698,133
gpt-oss_20b,context,test,Sadness,0.0,0.0,0.0,1
gpt-oss_20b,context,test,Surprise,0.0,0.0,0.0,4
llama3.1_latest,context,full,Anger,0.2222222222222222,0.08333333333333333,0.12121212121212122,24
llama3.1_latest,context,full,Disgust,0.02,0.25,0.037037037037037035,4
llama3.1_latest,context,full,Fear,0.0,0.0,0.0,3
llama3.1_latest,context,full,Happiness,0.087248322147651,0.24528301886792453,0.12871287128712872,53
llama3.1_latest,context,full,Neutral,0.9307359307359307,0.3228228228228228,0.4793756967670011,666
llama3.1_latest,context,full,Sadness,0.0,0.0,0.0,5
llama3.1_latest,context,full,Surprise,0.012461059190031152,0.2857142857142857,0.023880597014925373,14
llama3.1_latest,context,test,Anger,0.0,0.0,0.0,4
llama3.1_latest,context,test,Disgust,0.1,1.0,0.18181818181818182,1
llama3.1_latest,context,test,Fear,0.0,0.0,0.0,0
llama3.1_latest,context,test,Happiness,0.18518518518518517,0.45454545454545453,0.2631578947368421,11
llama3.1_latest,context,test,Neutral,0.9285714285714286,0.2932330827067669,0.44571428571428573,133
llama3.1_latest,context,test,Sadness,0.0,0.0,0.0,1
llama3.1_latest,context,test,Surprise,0.027777777777777776,0.5,0.05263157894736842,4
llama4_latest,context,full,Anger,0.0,0.0,0.0,24
llama4_latest,context,full,Disgust,0.0,0.0,0.0,4
llama4_latest,context,full,Fear,0.0,0.0,0.0,3
llama4_latest,context,full,Happiness,0.125,0.03773584905660377,0.057971014492753624,53
llama4_latest,context,full,Neutral,0.8681757656458056,0.978978978978979,0.9202540578687368,666
llama4_latest,context,full,Sadness,0.0,0.0,0.0,5
llama4_latest,context,full,Surprise,0.0,0.0,0.0,14
llama4_latest,context,test,Anger,0.0,0.0,0.0,4
llama4_latest,context,test,Disgust,0.0,0.0,0.0,1
llama4_latest,context,test,Fear,0.0,0.0,0.0,0
llama4_latest,context,test,Happiness,0.2,0.09090909090909091,0.125,11
llama4_latest,context,test,Neutral,0.8648648648648649,0.9624060150375939,0.9110320284697508,133
llama4_latest,context,test,Sadness,0.0,0.0,0.0,1
llama4_latest,context,test,Surprise,0.0,0.0,0.0,4
mistral-nemo_latest,context,full,Anger,0.0,0.0,0.0,24
mistral-nemo_latest,context,full,Disgust,0.02459016393442623,0.75,0.047619047619047616,4
mistral-nemo_latest,context,full,Fear,0.0,0.0,0.0,3
mistral-nemo_latest,context,full,Happiness,0.1875,0.05660377358490566,0.08695652173913043,53
mistral-nemo_latest,context,full,Neutral,0.8849840255591054,0.8318318318318318,0.8575851393188855,666
mistral-nemo_latest,context,full,Sadness,0.0,0.0,0.0,5
mistral-nemo_latest,context,full,Surprise,0.0,0.0,0.0,14
mistral-nemo_latest,context,test,Anger,0.0,0.0,0.0,4
mistral-nemo_latest,context,test,Disgust,0.034482758620689655,1.0,0.06666666666666667,1
mistral-nemo_latest,context,test,Fear,0.0,0.0,0.0,0
mistral-nemo_latest,context,test,Happiness,0.0,0.0,0.0,11
mistral-nemo_latest,context,test,Neutral,0.875,0.7894736842105263,0.8300395256916996,133
mistral-nemo_latest,context,test,Sadness,0.0,0.0,0.0,1
mistral-nemo_latest,context,test,Surprise,0.0,0.0,0.0,4
mistral-small3.2_latest,context,full,Anger,0.13793103448275862,0.3333333333333333,0.1951219512195122,24
mistral-small3.2_latest,context,full,Disgust,0.0,0.0,0.0,4
mistral-small3.2_latest,context,full,Fear,0.05555555555555555,0.3333333333333333,0.09523809523809523,3
mistral-small3.2_latest,context,full,Happiness,0.2127659574468085,0.18867924528301888,0.2,53
mistral-small3.2_latest,context,full,Neutral,0.9192751235584844,0.8378378378378378,0.8766692851531814,666
mistral-small3.2_latest,context,full,Sadness,0.125,0.2,0.15384615384615385,5
mistral-small3.2_latest,context,full,Surprise,0.0,0.0,0.0,14
mistral-small3.2_latest,context,test,Anger,0.0,0.0,0.0,4
mistral-small3.2_latest,context,test,Disgust,0.0,0.0,0.0,1
mistral-small3.2_latest,context,test,Fear,0.0,0.0,0.0,0
mistral-small3.2_latest,context,test,Happiness,0.21428571428571427,0.2727272727272727,0.24,11
mistral-small3.2_latest,context,test,Neutral,0.925,0.8345864661654135,0.8774703557312253,133
mistral-small3.2_latest,context,test,Sadness,0.0,0.0,0.0,1
mistral-small3.2_latest,context,test,Surprise,0.0,0.0,0.0,4
mistral_7b,context,full,Anger,0.14285714285714285,0.041666666666666664,0.06451612903225806,24
mistral_7b,context,full,Disgust,0.0,0.0,0.0,4
mistral_7b,context,full,Fear,0.0,0.0,0.0,3
mistral_7b,context,full,Happiness,0.2,0.018867924528301886,0.034482758620689655,53
mistral_7b,context,full,Neutral,0.876010781671159,0.975975975975976,0.9232954545454546,666
mistral_7b,context,full,Sadness,0.0,0.0,0.0,4
mistral_7b,context,full,Surprise,0.0,0.0,0.0,14
mistral_7b,context,test,Anger,0.0,0.0,0.0,4
mistral_7b,context,test,Disgust,0.0,0.0,0.0,1
mistral_7b,context,test,Fear,0.0,0.0,0.0,0
mistral_7b,context,test,Happiness,0.0,0.0,0.0,11
mistral_7b,context,test,Neutral,0.8648648648648649,0.9624060150375939,0.9110320284697508,133
mistral_7b,context,test,Sadness,0.0,0.0,0.0,1
mistral_7b,context,test,Surprise,0.0,0.0,0.0,4
mixtral_8x7b,context,full,Anger,0.1111111111111111,0.041666666666666664,0.06060606060606061,24
mixtral_8x7b,context,full,Disgust,0.0,0.0,0.0,4
mixtral_8x7b,context,full,Fear,0.0,0.0,0.0,3
mixtral_8x7b,context,full,Happiness,0.10526315789473684,0.038461538461538464,0.056338028169014086,52
mixtral_8x7b,context,full,Neutral,0.8753424657534247,0.9609022556390977,0.9161290322580645,665
mixtral_8x7b,context,full,Sadness,0.0,0.0,0.0,5
mixtral_8x7b,context,full,Surprise,0.0,0.0,0.0,14
mixtral_8x7b,context,test,Anger,0.0,0.0,0.0,4
mixtral_8x7b,context,test,Disgust,0.0,0.0,0.0,1
mixtral_8x7b,context,test,Fear,0.0,0.0,0.0,0
mixtral_8x7b,context,test,Happiness,0.0,0.0,0.0,11
mixtral_8x7b,context,test,Neutral,0.8561643835616438,0.9398496240601504,0.8960573476702509,133
mixtral_8x7b,context,test,Sadness,0.0,0.0,0.0,1
mixtral_8x7b,context,test,Surprise,0.0,0.0,0.0,4
phi4-mini_latest,context,full,Anger,0.09090909090909091,0.041666666666666664,0.05714285714285714,24
phi4-mini_latest,context,full,Disgust,0.0,0.0,0.0,4
phi4-mini_latest,context,full,Fear,0.0,0.0,0.0,3
phi4-mini_latest,context,full,Happiness,0.08333333333333333,0.038461538461538464,0.05263157894736842,52
phi4-mini_latest,context,full,Neutral,0.8930817610062893,0.8541353383458646,0.8731744811683321,665
phi4-mini_latest,context,full,Sadness,0.0,0.0,0.0,5
phi4-mini_latest,context,full,Surprise,0.03571428571428571,0.07142857142857142,0.047619047619047616,14
phi4-mini_latest,context,test,Anger,0.0,0.0,0.0,4
phi4-mini_latest,context,test,Disgust,0.0,0.0,0.0,1
phi4-mini_latest,context,test,Fear,0.0,0.0,0.0,0
phi4-mini_latest,context,test,Happiness,0.0,0.0,0.0,11
phi4-mini_latest,context,test,Neutral,0.8925619834710744,0.8120300751879699,0.8503937007874016,133
phi4-mini_latest,context,test,Sadness,0.0,0.0,0.0,1
phi4-mini_latest,context,test,Surprise,0.14285714285714285,0.25,0.18181818181818182,4
phi4_14b,context,full,Anger,0.15625,0.20833333333333334,0.17857142857142858,24
phi4_14b,context,full,Disgust,0.0,0.0,0.0,4
phi4_14b,context,full,Fear,0.0,0.0,0.0,3
phi4_14b,context,full,Happiness,0.16666666666666666,0.22641509433962265,0.192,53
phi4_14b,context,full,Neutral,0.9428571428571428,0.5945945945945946,0.7292817679558011,666
phi4_14b,context,full,Sadness,0.0,0.0,0.0,5
phi4_14b,context,full,Surprise,0.03015075376884422,0.42857142857142855,0.056338028169014086,14
phi4_14b,context,test,Anger,0.2,0.25,0.2222222222222222,4
phi4_14b,context,test,Disgust,0.0,0.0,0.0,1
phi4_14b,context,test,Fear,0.0,0.0,0.0,0
phi4_14b,context,test,Happiness,0.17647058823529413,0.2727272727272727,0.21428571428571427,11
phi4_14b,context,test,Neutral,0.95,0.5714285714285714,0.7136150234741784,133
phi4_14b,context,test,Sadness,0.0,0.0,0.0,1
phi4_14b,context,test,Surprise,0.023809523809523808,0.25,0.043478260869565216,4
qwen3_14b,context,full,Anger,0.3333333333333333,0.08333333333333333,0.13333333333333333,24
qwen3_14b,context,full,Disgust,0.03508771929824561,0.5,0.06557377049180328,4
qwen3_14b,context,full,Fear,0.0,0.0,0.0,3
qwen3_14b,context,full,Happiness,0.24444444444444444,0.20754716981132076,0.22448979591836735,53
qwen3_14b,context,full,Neutral,0.9201277955271565,0.8648648648648649,0.891640866873065,666
qwen3_14b,context,full,Sadness,0.07142857142857142,0.2,0.10526315789473684,5
qwen3_14b,context,full,Surprise,0.0,0.0,0.0,14
qwen3_14b,context,test,Anger,0.0,0.0,0.0,4
qwen3_14b,context,test,Disgust,0.125,1.0,0.2222222222222222,1
qwen3_14b,context,test,Fear,0.0,0.0,0.0,0
qwen3_14b,context,test,Happiness,0.23076923076923078,0.2727272727272727,0.25,11
qwen3_14b,context,test,Neutral,0.9256198347107438,0.8421052631578947,0.8818897637795275,133
qwen3_14b,context,test,Sadness,0.0,0.0,0.0,1
qwen3_14b,context,test,Surprise,0.0,0.0,0.0,4
qwen3_30b,context,full,Anger,0.2,0.041666666666666664,0.06896551724137931,24
qwen3_30b,context,full,Disgust,0.0,0.0,0.0,4
qwen3_30b,context,full,Fear,0.0,0.0,0.0,3
qwen3_30b,context,full,Happiness,0.17391304347826086,0.1509433962264151,0.16161616161616163,53
qwen3_30b,context,full,Neutral,0.8798842257597684,0.9129129129129129,0.8960943257184967,666
qwen3_30b,context,full,Sadness,0.5,0.2,0.2857142857142857,5
qwen3_30b,context,full,Surprise,0.0,0.0,0.0,14
qwen3_30b,context,test,Anger,0.0,0.0,0.0,4
qwen3_30b,context,test,Disgust,0.0,0.0,0.0,1
qwen3_30b,context,test,Fear,0.0,0.0,0.0,0
qwen3_30b,context,test,Happiness,0.2,0.18181818181818182,0.19047619047619047,11
qwen3_30b,context,test,Neutral,0.8740740740740741,0.8872180451127819,0.8805970149253731,133
qwen3_30b,context,test,Sadness,0.0,0.0,0.0,1
qwen3_30b,context,test,Surprise,0.0,0.0,0.0,4
deepseek-r1_14b,nocontext,full,Anger,0.1,0.043478260869565216,0.06060606060606061,23
deepseek-r1_14b,nocontext,full,Disgust,0.0,0.0,0.0,3
deepseek-r1_14b,nocontext,full,Fear,0.0,0.0,0.0,3
deepseek-r1_14b,nocontext,full,Happiness,0.3125,0.09433962264150944,0.14492753623188406,53
deepseek-r1_14b,nocontext,full,Neutral,0.8841379310344828,0.9668174962292609,0.9236311239193083,663
deepseek-r1_14b,nocontext,full,Sadness,0.16666666666666666,0.25,0.2,4
deepseek-r1_14b,nocontext,full,Surprise,0.0,0.0,0.0,14
deepseek-r1_14b,nocontext,test,Anger,0.0,0.0,0.0,3
deepseek-r1_14b,nocontext,test,Disgust,0.0,0.0,0.0,0
deepseek-r1_14b,nocontext,test,Fear,0.0,0.0,0.0,0
deepseek-r1_14b,nocontext,test,Happiness,0.14285714285714285,0.09090909090909091,0.1111111111111111,11
deepseek-r1_14b,nocontext,test,Neutral,0.8865248226950354,0.9398496240601504,0.9124087591240876,133
deepseek-r1_14b,nocontext,test,Sadness,0.0,0.0,0.0,1
deepseek-r1_14b,nocontext,test,Surprise,0.0,0.0,0.0,4
deepseek-r1_32b,nocontext,full,Anger,0.2857142857142857,0.16666666666666666,0.21052631578947367,24
deepseek-r1_32b,nocontext,full,Disgust,0.14285714285714285,0.3333333333333333,0.2,3
deepseek-r1_32b,nocontext,full,Fear,0.0,0.0,0.0,3
deepseek-r1_32b,nocontext,full,Happiness,0.5,0.1320754716981132,0.208955223880597,53
deepseek-r1_32b,nocontext,full,Neutral,0.8945908460471568,0.9684684684684685,0.9300648882480173,666
deepseek-r1_32b,nocontext,full,Sadness,0.3333333333333333,0.4,0.36363636363636365,5
deepseek-r1_32b,nocontext,full,Surprise,1.0,0.07142857142857142,0.13333333333333333,14
deepseek-r1_32b,nocontext,test,Anger,0.0,0.0,0.0,4
deepseek-r1_32b,nocontext,test,Disgust,0.0,0.0,0.0,0
deepseek-r1_32b,nocontext,test,Fear,0.0,0.0,0.0,0
deepseek-r1_32b,nocontext,test,Happiness,0.3333333333333333,0.09090909090909091,0.14285714285714285,11
deepseek-r1_32b,nocontext,test,Neutral,0.8775510204081632,0.9699248120300752,0.9214285714285714,133
deepseek-r1_32b,nocontext,test,Sadness,0.0,0.0,0.0,1
deepseek-r1_32b,nocontext,test,Surprise,0.0,0.0,0.0,4
deepseek-r1_8b,nocontext,full,Anger,0.0,0.0,0.0,0
deepseek-r1_8b,nocontext,full,Disgust,0.0,0.0,0.0,0
deepseek-r1_8b,nocontext,full,Fear,0.0,0.0,0.0,0
deepseek-r1_8b,nocontext,full,Happiness,0.0,0.0,0.0,0
deepseek-r1_8b,nocontext,full,Neutral,0.0,0.0,0.0,10
deepseek-r1_8b,nocontext,full,Sadness,0.0,0.0,0.0,0
deepseek-r1_8b,nocontext,full,Surprise,0.0,0.0,0.0,0
deepseek-r1_8b,nocontext,test,Anger,0.0,0.0,0.0,0
deepseek-r1_8b,nocontext,test,Disgust,0.0,0.0,0.0,0
deepseek-r1_8b,nocontext,test,Fear,0.0,0.0,0.0,0
deepseek-r1_8b,nocontext,test,Happiness,0.0,0.0,0.0,0
deepseek-r1_8b,nocontext,test,Neutral,0.0,0.0,0.0,0
deepseek-r1_8b,nocontext,test,Sadness,0.0,0.0,0.0,0
deepseek-r1_8b,nocontext,test,Surprise,0.0,0.0,0.0,0
gemma3_12b,nocontext,full,Anger,0.15384615384615385,0.08695652173913043,0.1111111111111111,23
gemma3_12b,nocontext,full,Disgust,0.047619047619047616,0.25,0.08,4
gemma3_12b,nocontext,full,Fear,0.0,0.0,0.0,3
gemma3_12b,nocontext,full,Happiness,0.5,0.1346153846153846,0.21212121212121213,52
gemma3_12b,nocontext,full,Neutral,0.9015918958031838,0.9396681749622926,0.9202363367799113,663
gemma3_12b,nocontext,full,Sadness,0.16666666666666666,0.2,0.18181818181818182,5
gemma3_12b,nocontext,full,Surprise,0.14285714285714285,0.07692307692307693,0.1,13
gemma3_12b,nocontext,test,Anger,0.0,0.0,0.0,3
gemma3_12b,nocontext,test,Disgust,0.0,0.0,0.0,1
gemma3_12b,nocontext,test,Fear,0.0,0.0,0.0,0
gemma3_12b,nocontext,test,Happiness,0.0,0.0,0.0,11
gemma3_12b,nocontext,test,Neutral,0.8848920863309353,0.924812030075188,0.9044117647058824,133
gemma3_12b,nocontext,test,Sadness,0.0,0.0,0.0,1
gemma3_12b,nocontext,test,Surprise,0.0,0.0,0.0,4
gemma3_27b,nocontext,full,Anger,0.3076923076923077,0.17391304347826086,0.2222222222222222,23
gemma3_27b,nocontext,full,Disgust,0.06666666666666667,0.25,0.10526315789473684,4
gemma3_27b,nocontext,full,Fear,0.0,0.0,0.0,3
gemma3_27b,nocontext,full,Happiness,0.38461538461538464,0.09803921568627451,0.15625,51
gemma3_27b,nocontext,full,Neutral,0.8992907801418439,0.9577039274924471,0.9275786393562546,662
gemma3_27b,nocontext,full,Sadness,0.0,0.0,0.0,2
gemma3_27b,nocontext,full,Surprise,0.14285714285714285,0.07142857142857142,0.09523809523809523,14
gemma3_27b,nocontext,test,Anger,0.0,0.0,0.0,4
gemma3_27b,nocontext,test,Disgust,0.0,0.0,0.0,1
gemma3_27b,nocontext,test,Fear,0.0,0.0,0.0,0
gemma3_27b,nocontext,test,Happiness,0.2,0.09090909090909091,0.125,11
gemma3_27b,nocontext,test,Neutral,0.8920863309352518,0.9465648854961832,0.9185185185185185,131
gemma3_27b,nocontext,test,Sadness,0.0,0.0,0.0,0
gemma3_27b,nocontext,test,Surprise,0.0,0.0,0.0,4
gpt-oss_20b,nocontext,full,Anger,0.3333333333333333,0.07142857142857142,0.11764705882352941,14
gpt-oss_20b,nocontext,full,Disgust,0.0,0.0,0.0,2
gpt-oss_20b,nocontext,full,Fear,0.0,0.0,0.0,1
gpt-oss_20b,nocontext,full,Happiness,0.23529411764705882,0.10810810810810811,0.14814814814814814,37
gpt-oss_20b,nocontext,full,Neutral,0.913961038961039,0.9607508532423208,0.9367720465890182,586
gpt-oss_20b,nocontext,full,Sadness,0.0,0.0,0.0,1
gpt-oss_20b,nocontext,full,Surprise,0.0,0.0,0.0,8
gpt-oss_20b,nocontext,test,Anger,0.0,0.0,0.0,3
gpt-oss_20b,nocontext,test,Disgust,0.0,0.0,0.0,1
gpt-oss_20b,nocontext,test,Fear,0.0,0.0,0.0,0
gpt-oss_20b,nocontext,test,Happiness,0.2,0.1111111111111111,0.14285714285714285,9
gpt-oss_20b,nocontext,test,Neutral,0.9032258064516129,0.9256198347107438,0.9142857142857143,121
gpt-oss_20b,nocontext,test,Sadness,0.0,0.0,0.0,0
gpt-oss_20b,nocontext,test,Surprise,0.0,0.0,0.0,2
llama3.1_latest,nocontext,full,Anger,0.2,0.16666666666666666,0.18181818181818182,24
llama3.1_latest,nocontext,full,Disgust,0.006666666666666667,0.25,0.012987012987012988,4
llama3.1_latest,nocontext,full,Fear,0.0,0.0,0.0,3
llama3.1_latest,nocontext,full,Happiness,0.12,0.22641509433962265,0.1568627450980392,53
llama3.1_latest,nocontext,full,Neutral,0.9540983606557377,0.4369369369369369,0.5993820803295572,666
llama3.1_latest,nocontext,full,Sadness,0.0,0.0,0.0,5
llama3.1_latest,nocontext,full,Surprise,0.027624309392265192,0.35714285714285715,0.05128205128205128,14
llama3.1_latest,nocontext,test,Anger,0.25,0.25,0.25,4
llama3.1_latest,nocontext,test,Disgust,0.0,0.0,0.0,1
llama3.1_latest,nocontext,test,Fear,0.0,0.0,0.0,0
llama3.1_latest,nocontext,test,Happiness,0.04,0.09090909090909091,0.05555555555555555,11
llama3.1_latest,nocontext,test,Neutral,0.9491525423728814,0.42105263157894735,0.5833333333333334,133
llama3.1_latest,nocontext,test,Sadness,0.0,0.0,0.0,1
llama3.1_latest,nocontext,test,Surprise,0.03333333333333333,0.25,0.058823529411764705,4
llama4_latest,nocontext,full,Anger,0.16666666666666666,0.041666666666666664,0.06666666666666667,24
llama4_latest,nocontext,full,Disgust,0.125,0.25,0.16666666666666666,4
llama4_latest,nocontext,full,Fear,0.0,0.0,0.0,3
llama4_latest,nocontext,full,Happiness,0.22727272727272727,0.09615384615384616,0.13513513513513514,52
llama4_latest,nocontext,full,Neutral,0.8899858956276445,0.951734539969834,0.9198250728862973,663
llama4_latest,nocontext,full,Sadness,0.1,0.2,0.13333333333333333,5
llama4_latest,nocontext,full,Surprise,0.0,0.0,0.0,13
llama4_latest,nocontext,test,Anger,0.0,0.0,0.0,4
llama4_latest,nocontext,test,Disgust,0.0,0.0,0.0,1
llama4_latest,nocontext,test,Fear,0.0,0.0,0.0,0
llama4_latest,nocontext,test,Happiness,0.0,0.0,0.0,11
llama4_latest,nocontext,test,Neutral,0.8601398601398601,0.924812030075188,0.8913043478260869,133
llama4_latest,nocontext,test,Sadness,0.0,0.0,0.0,1
llama4_latest,nocontext,test,Surprise,0.0,0.0,0.0,4
mistral-nemo_latest,nocontext,full,Anger,0.4,0.08333333333333333,0.13793103448275862,24
mistral-nemo_latest,nocontext,full,Disgust,0.031914893617021274,0.75,0.061224489795918366,4
mistral-nemo_latest,nocontext,full,Fear,0.0,0.0,0.0,3
mistral-nemo_latest,nocontext,full,Happiness,0.25,0.07547169811320754,0.11594202898550725,53
mistral-nemo_latest,nocontext,full,Neutral,0.9068627450980392,0.8333333333333334,0.8685446009389671,666
mistral-nemo_latest,nocontext,full,Sadness,0.08333333333333333,0.2,0.11764705882352941,5
mistral-nemo_latest,nocontext,full,Surprise,0.07692307692307693,0.14285714285714285,0.1,14
mistral-nemo_latest,nocontext,test,Anger,0.0,0.0,0.0,4
mistral-nemo_latest,nocontext,test,Disgust,0.0625,1.0,0.11764705882352941,1
mistral-nemo_latest,nocontext,test,Fear,0.0,0.0,0.0,0
mistral-nemo_latest,nocontext,test,Happiness,0.0,0.0,0.0,11
mistral-nemo_latest,nocontext,test,Neutral,0.88,0.8270676691729323,0.8527131782945736,133
mistral-nemo_latest,nocontext,test,Sadness,0.0,0.0,0.0,1
mistral-nemo_latest,nocontext,test,Surprise,0.0,0.0,0.0,4
mistral-small3.2_latest,nocontext,full,Anger,0.15789473684210525,0.125,0.13953488372093023,24
mistral-small3.2_latest,nocontext,full,Disgust,0.017543859649122806,0.25,0.03278688524590164,4
mistral-small3.2_latest,nocontext,full,Fear,0.0,0.0,0.0,3
mistral-small3.2_latest,nocontext,full,Happiness,0.3157894736842105,0.23076923076923078,0.26666666666666666,52
mistral-small3.2_latest,nocontext,full,Neutral,0.9234449760765551,0.8706766917293233,0.8962848297213623,665
mistral-small3.2_latest,nocontext,full,Sadness,0.2,0.6,0.3,5
mistral-small3.2_latest,nocontext,full,Surprise,0.16666666666666666,0.07142857142857142,0.1,14
mistral-small3.2_latest,nocontext,test,Anger,0.0,0.0,0.0,4
mistral-small3.2_latest,nocontext,test,Disgust,0.0,0.0,0.0,1
mistral-small3.2_latest,nocontext,test,Fear,0.0,0.0,0.0,0
mistral-small3.2_latest,nocontext,test,Happiness,0.125,0.09090909090909091,0.10526315789473684,11
mistral-small3.2_latest,nocontext,test,Neutral,0.8968253968253969,0.849624060150376,0.8725868725868726,133
mistral-small3.2_latest,nocontext,test,Sadness,0.0,0.0,0.0,1
mistral-small3.2_latest,nocontext,test,Surprise,0.0,0.0,0.0,4
